episode,title,publishedAt,durationSeconds,durationMinutes,guid,audioUrl,appleUrl
33,火薬の匂いが立ち込める,2023-11-16,2719,45,9fd91ec0-846a-11ee-89b7-5308b34cc23c,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS5638173853.mp3?updated=1700464083,https://podcasts.apple.com/jp/podcast/33-%E7%81%AB%E8%96%AC%E3%81%AE%E5%8C%82%E3%81%84%E3%81%8C%E7%AB%8B%E3%81%A1%E8%BE%BC%E3%82%81%E3%82%8B/id1680512344?i=1000635024864&uo=4
34,そしてオタクは旅に出た,2023-11-23,2682,45,c1011bda-89eb-11ee-9c6a-d38e057dd61f,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS9166494687.mp3?updated=1700765843,https://podcasts.apple.com/jp/podcast/34-%E3%81%9D%E3%81%97%E3%81%A6%E3%82%AA%E3%82%BF%E3%82%AF%E3%81%AF%E6%97%85%E3%81%AB%E5%87%BA%E3%81%9F/id1680512344?i=1000635783920&uo=4
35,開戦 〜M-1グランプリ2023 VS 櫻坂46 3rd YEAR ANNIVERSARY LIVE〜,2023-11-30,3002,50,c7fb1da6-8f62-11ee-b319-afd6cfbc41a2,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS5806427586.mp3?updated=1701901168,https://podcasts.apple.com/jp/podcast/35-%E9%96%8B%E6%88%A6-m-1%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%97%E3%83%AA2023-vs-%E6%AB%BB%E5%9D%8246-3rd-year-anniversary-live/id1680512344?i=1000637025602&uo=4
36,愛の咆哮、そして誓い,2023-12-07,3504,58,402d20da-94ef-11ee-8dd3-cfd31a662208,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS6627424751.mp3?updated=1703140272,https://podcasts.apple.com/jp/podcast/36-%E6%84%9B%E3%81%AE%E5%92%86%E5%93%AE-%E3%81%9D%E3%81%97%E3%81%A6%E8%AA%93%E3%81%84/id1680512344?i=1000637796797&uo=4
37,殺意が街にやってくる,2023-12-14,3011,50,c85b4d14-9a6d-11ee-9d88-97328278d509,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS4674390129.mp3?updated=1703140342,https://podcasts.apple.com/jp/podcast/37-%E6%AE%BA%E6%84%8F%E3%81%8C%E8%A1%97%E3%81%AB%E3%82%84%E3%81%A3%E3%81%A6%E3%81%8F%E3%82%8B/id1680512344?i=1000638543940&uo=4
38,クリスマスに銃声は聞きたくないよ,2023-12-21,3372,56,9a425fde-9fc8-11ee-a435-23f96d169655,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS5825526225.mp3?updated=1703140415,https://podcasts.apple.com/jp/podcast/38-%E3%82%AF%E3%83%AA%E3%82%B9%E3%83%9E%E3%82%B9%E3%81%AB%E9%8A%83%E5%A3%B0%E3%81%AF%E8%81%9E%E3%81%8D%E3%81%9F%E3%81%8F%E3%81%AA%E3%81%84%E3%82%88/id1680512344?i=1000639316810&uo=4
39,怯えて暮らした日々の終わりに,2023-12-28,3209,53,5c6797b2-a566-11ee-a20c-6718a7cf65ce,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS5946743095.mp3?updated=1704414076,https://podcasts.apple.com/jp/podcast/39-%E6%80%AF%E3%81%88%E3%81%A6%E6%9A%AE%E3%82%89%E3%81%97%E3%81%9F%E6%97%A5%E3%80%85%E3%81%AE%E7%B5%82%E3%82%8F%E3%82%8A%E3%81%AB/id1680512344?i=1000639900579&uo=4
40,Never Ending Story 〜青春の輝き〜,2024-01-04,3455,58,032c6682-aad9-11ee-8212-5f520722b7b6,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS7199968460.mp3?updated=1704414183,https://podcasts.apple.com/jp/podcast/40-never-ending-story-%E9%9D%92%E6%98%A5%E3%81%AE%E8%BC%9D%E3%81%8D/id1680512344?i=1000640521605&uo=4
41,俺たちの松崎克俊、ラブリースマイリーベイビー、そして・・石仮面,2024-01-11,3304,55,7cd94b62-b056-11ee-b628-9fd61a00c6f4,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS6907819680.mp3?updated=1706225664,https://podcasts.apple.com/jp/podcast/41-%E4%BF%BA%E3%81%9F%E3%81%A1%E3%81%AE%E6%9D%BE%E5%B4%8E%E5%85%8B%E4%BF%8A-%E3%83%A9%E3%83%96%E3%83%AA%E3%83%BC%E3%82%B9%E3%83%9E%E3%82%A4%E3%83%AA%E3%83%BC%E3%83%99%E3%82%A4%E3%83%93%E3%83%BC-%E3%81%9D%E3%81%97%E3%81%A6-%E7%9F%B3%E4%BB%AE%E9%9D%A2/id1680512344?i=1000641284844&uo=4
42,ジレンマにようこそ,2024-01-18,2974,50,0ab5c7a8-b5ed-11ee-a4f8-f337fc67d97c,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS9279670229.mp3?updated=1706227890,https://podcasts.apple.com/jp/podcast/42-%E3%82%B8%E3%83%AC%E3%83%B3%E3%83%9E%E3%81%AB%E3%82%88%E3%81%86%E3%81%93%E3%81%9D/id1680512344?i=1000642080222&uo=4
43,唯衣ちゃんずっと応援してるよ,2024-01-25,2558,43,2b2d4cbe-bb64-11ee-91df-7b895b82f5b5,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS9737807368.mp3?updated=1706228221,https://podcasts.apple.com/jp/podcast/43-%E5%94%AF%E8%A1%A3%E3%81%A1%E3%82%83%E3%82%93%E3%81%9A%E3%81%A3%E3%81%A8%E5%BF%9C%E6%8F%B4%E3%81%97%E3%81%A6%E3%82%8B%E3%82%88/id1680512344?i=1000642890518&uo=4
44,お前は芸人をやってたほうがいいよ,2024-02-01,2804,47,2c051e9c-c0ea-11ee-b779-0ff50e6698c2,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS3965951231.mp3?updated=1706800761,https://podcasts.apple.com/jp/podcast/44-%E3%81%8A%E5%89%8D%E3%81%AF%E8%8A%B8%E4%BA%BA%E3%82%92%E3%82%84%E3%81%A3%E3%81%A6%E3%81%9F%E3%81%BB%E3%81%86%E3%81%8C%E3%81%84%E3%81%84%E3%82%88/id1680512344?i=1000643782515&uo=4
45,祝福が嵐,2024-02-08,2445,41,9fd41f98-c66d-11ee-b878-831e12fc0806,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS1807676513.mp3?updated=1772109824,https://podcasts.apple.com/jp/podcast/45-%E7%A5%9D%E7%A6%8F%E3%81%8C%E5%B5%90/id1680512344?i=1000644617577&uo=4
46,シンクロニシティ〜共時性がいっぱい〜,2024-02-15,2603,43,b2308a3a-cbe7-11ee-8e4e-27eab21c8e83,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS9327245788.mp3?updated=1707990951,https://podcasts.apple.com/jp/podcast/46-%E3%82%B7%E3%83%B3%E3%82%AF%E3%83%AD%E3%83%8B%E3%82%B7%E3%83%86%E3%82%A3-%E5%85%B1%E6%99%82%E6%80%A7%E3%81%8C%E3%81%84%E3%81%A3%E3%81%B1%E3%81%84/id1680512344?i=1000645430826&uo=4
47,裏切りの夜／愛ゆえに物申す,2024-02-22,3174,53,6282c8b0-d16c-11ee-bbf6-23674fd96e44,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS6777271249.mp3?updated=1708597696,https://podcasts.apple.com/jp/podcast/47-%E8%A3%8F%E5%88%87%E3%82%8A%E3%81%AE%E5%A4%9C-%E6%84%9B%E3%82%86%E3%81%88%E3%81%AB%E7%89%A9%E7%94%B3%E3%81%99/id1680512344?i=1000646378643&uo=4
48,男たちは泣いた,2024-02-29,2862,48,c401e700-d6e5-11ee-9e03-07fcf69f9ad1,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS2849949410.mp3?updated=1709199584,https://podcasts.apple.com/jp/podcast/48-%E7%94%B7%E3%81%9F%E3%81%A1%E3%81%AF%E6%B3%A3%E3%81%84%E3%81%9F/id1680512344?i=1000647510097&uo=4
49,地獄の甲子園,2024-03-07,2630,44,75da5d42-dc61-11ee-9dd5-ef246bcc6565,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS8603176593.mp3?updated=1709802466,https://podcasts.apple.com/jp/podcast/49-%E5%9C%B0%E7%8D%84%E3%81%AE%E7%94%B2%E5%AD%90%E5%9C%92/id1680512344?i=1000648333272&uo=4
50,勝利の美酒で乾杯を,2024-03-14,3116,52,2543074e-e1e8-11ee-b449-472552bf0aa2,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS2321196755.mp3?updated=1710410069,https://podcasts.apple.com/jp/podcast/50-%E5%8B%9D%E5%88%A9%E3%81%AE%E7%BE%8E%E9%85%92%E3%81%A7%E4%B9%BE%E6%9D%AF%E3%82%92/id1680512344?i=1000649177166&uo=4
51,この撒いた種をいつか咲かせないと駄目だよ,2024-03-21,3377,56,d80c1136-e756-11ee-b91b-bff207e9b8a8,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS2699359146.mp3?updated=1711007370,https://podcasts.apple.com/jp/podcast/51-%E3%81%93%E3%81%AE%E6%92%92%E3%81%84%E3%81%9F%E7%A8%AE%E3%82%92%E3%81%84%E3%81%A4%E3%81%8B%E5%92%B2%E3%81%8B%E3%81%9B%E3%81%AA%E3%81%84%E3%81%A8%E9%A7%84%E7%9B%AE%E3%81%A0%E3%82%88/id1680512344?i=1000649978813&uo=4
52,ワールズ・エンド,2024-03-28,2086,35,694c52c4-ecd3-11ee-8a1b-9fac7d3a97ef,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS4988239882.mp3?updated=1711761961,https://podcasts.apple.com/jp/podcast/52-%E3%83%AF%E3%83%BC%E3%83%AB%E3%82%BA-%E3%82%A8%E3%83%B3%E3%83%89/id1680512344?i=1000650713679&uo=4
53,修羅と桜,2024-04-04,2580,43,78dd6510-f265-11ee-b4f8-2bb25bc902e1,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS3023077816.mp3?updated=1712223115,https://podcasts.apple.com/jp/podcast/53-%E4%BF%AE%E7%BE%85%E3%81%A8%E6%A1%9C/id1680512344?i=1000651407715&uo=4
54,パニック！パニック！パニック！,2024-04-11,2646,44,d5075728-f7de-11ee-9609-a7e7408d03ff,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS7809373679.mp3?updated=1712824995,https://podcasts.apple.com/jp/podcast/54-%E3%83%91%E3%83%8B%E3%83%83%E3%82%AF-%E3%83%91%E3%83%8B%E3%83%83%E3%82%AF-%E3%83%91%E3%83%8B%E3%83%83%E3%82%AF/id1680512344?i=1000652127720&uo=4
55,遺産相続はもめる,2024-04-18,2333,39,6ff28728-fd64-11ee-bc36-3ba861e61729,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS3171421919.mp3?updated=1713432132,https://podcasts.apple.com/jp/podcast/55-%E9%81%BA%E7%94%A3%E7%9B%B8%E7%B6%9A%E3%81%AF%E3%82%82%E3%82%81%E3%82%8B/id1680512344?i=1000652844739&uo=4
